CaseID,weight,tm_start,tm_finish,duration,age_category,education_level,gender,income_level,marital_status,region,is_parent,state,i_develop_strong_emotions_toward_people_i_can_rely_on_num,i_develop_strong_emotions_toward_people_i_can_rely_on,parents_should_empower_children_as_much_as_possible_so_that_they_may_follow_their_dreams_num,parents_should_empower_children_as_much_as_possible_so_that_they_may_follow_their_dreams,moral_standards_should_be_seen_as_individualistic_what_one_person_considers_to_be_moral_may_be_judged_as_immoral_by_another_person_num,moral_standards_should_be_seen_as_individualistic_what_one_person_considers_to_be_moral_may_be_judged_as_immoral_by_another_person
288,0.32,3/13/2012,3/19/2012,9546.0,55-64,High school,Female,"$60,000 to $74,999",Married,Mid-Atlantic,No,PA,5.0,Somewhat agree,6.0,Agree,6.0,Disagree
289,0.68,3/13/2012,3/16/2012,4411.0,35-44,Bachelor's degree or higher,Male,"$85,000 to $99,999",Married,West-South Central,Yes,TX,6.0,Agree,5.0,Somewhat agree,3.0,Somewhat agree
290,0.36,3/13/2012,3/13/2012,80.0,65-74,Bachelor's degree or higher,Male,"$150,000 to $174,999",Married,Pacific,Yes,WA,5.0,Somewhat agree,5.0,Somewhat agree,5.0,Somewhat disagree
291,0.46,3/13/2012,3/13/2012,32.0,35-44,Bachelor's degree or higher,Female,"$125,000 to $149,999",Married,East-North Central,No,IL,5.0,Somewhat agree,5.0,Somewhat agree,3.0,Somewhat agree
292,0.42,3/13/2012,3/13/2012,67.0,45-54,Bachelor's degree or higher,Male,"$75,000 to $84,999",Married,East-South Central,No,TN,6.0,Agree,6.0,Agree,7.0,Strongly disagree
293,1.22,3/13/2012,3/13/2012,99.0,55-64,High school,Female,"$20,000 to $24,999",Married,East-North Central,No,MI,6.0,Agree,7.0,Strongly agree,2.0,Agree
294,1.42,3/13/2012,3/13/2012,43.0,45-54,Bachelor's degree or higher,Male,"$125,000 to $149,999",Married,Mountain,Yes,WY,5.0,Somewhat agree,5.0,Somewhat agree,5.0,Somewhat disagree
295,0.37,3/13/2012,3/13/2012,49.0,18-24,Some college,Female,"$75,000 to $84,999",Never married,East-North Central,No,MI,6.0,Agree,6.0,Agree,2.0,Agree
296,0.32,3/13/2012,3/13/2012,52.0,65-74,Bachelor's degree or higher,Male,"$75,000 to $84,999",Married,South Atlantic,No,DE,7.0,Strongly agree,6.0,Agree,7.0,Strongly disagree
297,2.2,3/13/2012,3/13/2012,25.0,35-44,Bachelor's degree or higher,Male,"$100,000 to $124,999",Living with partner,New England,No,MA,5.0,Somewhat agree,4.0,Neither agree nor disagree,3.0,Somewhat agree
298,0.62,3/13/2012,3/13/2012,27.0,35-44,Bachelor's degree or higher,Male,"$100,000 to $124,999",Married,East-South Central,Yes,KY,5.0,Somewhat agree,6.0,Agree,5.0,Somewhat disagree
299,0.92,3/13/2012,3/13/2012,136.0,45-54,High school,Male,"$15,000 to $19,999",Separated,West-South Central,No,AR,7.0,Strongly agree,3.0,Somewhat disagree,7.0,Strongly disagree
300,0.8,3/13/2012,3/13/2012,67.0,45-54,Some college,Female,"$5,000 to $7,499",Living with partner,East-South Central,No,TN,-1.0,Refused,6.0,Agree,3.0,Somewhat agree
301,1.85,3/13/2012,3/13/2012,38.0,75+,Some college,Female,">=$175,000",Living with partner,South Atlantic,No,NC,7.0,Strongly agree,5.0,Somewhat agree,3.0,Somewhat agree
302,0.25,3/13/2012,3/13/2012,23.0,55-64,Bachelor's degree or higher,Female,"$60,000 to $74,999",Married,Mid-Atlantic,Yes,PA,5.0,Somewhat agree,4.0,Neither agree nor disagree,5.0,Somewhat disagree
303,0.35,3/13/2012,3/13/2012,51.0,55-64,Bachelor's degree or higher,Male,"$125,000 to $149,999",Married,East-North Central,No,MI,7.0,Strongly agree,7.0,Strongly agree,4.0,Neither agree nor disagree
304,0.74,3/13/2012,3/16/2012,4281.0,45-54,Bachelor's degree or higher,Male,"$100,000 to $124,999",Married,Pacific,No,CA,6.0,Agree,6.0,Agree,4.0,Neither agree nor disagree
305,0.31,3/13/2012,3/13/2012,25.0,35-44,Bachelor's degree or higher,Female,">=$175,000",Married,Mid-Atlantic,No,PA,6.0,Agree,6.0,Agree,2.0,Agree
306,0.45,3/13/2012,3/13/2012,18.0,45-54,High school,Female,"$25,000 to $29,999",Married,West-South Central,Yes,AR,6.0,Agree,6.0,Agree,3.0,Somewhat agree
307,2.12,3/13/2012,3/13/2012,48.0,35-44,Bachelor's degree or higher,Female,"$50,000 to $59,999",Married,South Atlantic,No,VA,7.0,Strongly agree,6.0,Agree,4.0,Neither agree nor disagree
308,0.6,3/13/2012,3/13/2012,38.0,75+,High school,Female,"$40,000 to $49,999",Married,West-South Central,No,AR,6.0,Agree,7.0,Strongly agree,5.0,Somewhat disagree
309,0.52,3/13/2012,3/13/2012,797.0,45-54,Bachelor's degree or higher,Male,"$85,000 to $99,999",Divorced,West-North Central,No,IA,6.0,Agree,6.0,Agree,5.0,Somewhat disagree
310,0.35,3/13/2012,3/13/2012,24.0,55-64,Bachelor's degree or higher,Female,"$60,000 to $74,999",Never married,West-South Central,No,TX,5.0,Somewhat agree,6.0,Agree,3.0,Somewhat agree
311,0.37,3/13/2012,3/13/2012,41.0,55-64,Bachelor's degree or higher,Male,">=$175,000",Married,West-South Central,Yes,TX,6.0,Agree,6.0,Agree,3.0,Somewhat agree
312,0.34,3/13/2012,3/13/2012,49.0,45-54,Bachelor's degree or higher,Male,"$125,000 to $149,999",Married,Mid-Atlantic,Yes,PA,5.0,Somewhat agree,7.0,Strongly agree,3.0,Somewhat agree
313,0.36,3/13/2012,3/13/2012,36.0,45-54,Bachelor's degree or higher,Female,">=$175,000",Married,Mid-Atlantic,No,NY,6.0,Agree,5.0,Somewhat agree,6.0,Disagree
314,1.69,3/13/2012,3/13/2012,32.0,65-74,Some college,Female,"$60,000 to $74,999",Married,East-North Central,No,IN,6.0,Agree,2.0,Disagree,6.0,Disagree
316,1.5,3/13/2012,3/13/2012,34.0,35-44,High school,Male,"$15,000 to $19,999",Married,East-North Central,No,IN,1.0,Strongly disagree,1.0,Strongly disagree,7.0,Strongly disagree
317,0.67,3/13/2012,3/13/2012,49.0,35-44,High school,Female,"$50,000 to $59,999",Married,Mountain,Yes,CO,6.0,Agree,7.0,Strongly agree,2.0,Agree
318,0.66,3/13/2012,3/13/2012,60.0,55-64,High school,Female,"$60,000 to $74,999",Married,Mid-Atlantic,No,PA,5.0,Somewhat agree,6.0,Agree,2.0,Agree
319,2.25,3/13/2012,3/13/2012,59.0,35-44,High school,Female,"$20,000 to $24,999",Never married,Pacific,No,WA,-1.0,Refused,7.0,Strongly agree,3.0,Somewhat agree
320,0.54,3/13/2012,3/13/2012,44.0,35-44,Some college,Female,"$25,000 to $29,999",Divorced,West-South Central,Yes,TX,5.0,Somewhat agree,4.0,Neither agree nor disagree,3.0,Somewhat agree
321,0.34,3/13/2012,3/13/2012,33.0,55-64,Some college,Male,"$125,000 to $149,999",Married,South Atlantic,No,DC,7.0,Strongly agree,6.0,Agree,2.0,Agree
322,0.48,3/13/2012,3/13/2012,50.0,45-54,Bachelor's degree or higher,Female,"$125,000 to $149,999",Married,East-North Central,Yes,MI,5.0,Somewhat agree,6.0,Agree,7.0,Strongly disagree
323,0.38,3/13/2012,3/13/2012,33.0,65-74,High school,Female,"$85,000 to $99,999",Widowed,Mid-Atlantic,No,PA,6.0,Agree,6.0,Agree,5.0,Somewhat disagree
324,1.32,3/13/2012,3/13/2012,24.0,18-24,Bachelor's degree or higher,Male,"$125,000 to $149,999",Never married,East-North Central,No,IL,6.0,Agree,7.0,Strongly agree,3.0,Somewhat agree
325,0.51,3/13/2012,3/13/2012,37.0,55-64,Bachelor's degree or higher,Male,">=$175,000",Married,Mountain,No,NV,7.0,Strongly agree,4.0,Neither agree nor disagree,6.0,Disagree
326,0.59,3/13/2012,3/13/2012,49.0,45-54,Bachelor's degree or higher,Male,"$60,000 to $74,999",Never married,Pacific,No,AK,5.0,Somewhat agree,6.0,Agree,6.0,Disagree
327,0.24,3/13/2012,3/13/2012,56.0,45-54,Some college,Male,"$125,000 to $149,999",Married,Pacific,No,CA,6.0,Agree,6.0,Agree,2.0,Agree
328,1.73,3/13/2012,3/13/2012,44.0,45-54,Some college,Female,"$40,000 to $49,999",Divorced,West-South Central,No,TX,6.0,Agree,6.0,Agree,6.0,Disagree
329,0.36,3/13/2012,3/20/2012,10055.0,45-54,High school,Male,"$100,000 to $124,999",Married,West-North Central,Yes,MN,-1.0,Refused,4.0,Neither agree nor disagree,7.0,Strongly disagree
330,0.25,3/13/2012,3/13/2012,56.0,55-64,Bachelor's degree or higher,Male,"$75,000 to $84,999",Married,Pacific,No,CA,6.0,Agree,5.0,Somewhat agree,3.0,Somewhat agree
331,0.38,3/13/2012,3/13/2012,34.0,55-64,Bachelor's degree or higher,Male,"$60,000 to $74,999",Separated,Mid-Atlantic,No,NY,6.0,Agree,7.0,Strongly agree,5.0,Somewhat disagree
332,0.68,3/13/2012,3/13/2012,12.0,35-44,Some college,Male,"$60,000 to $74,999",Married,South Atlantic,No,FL,5.0,Somewhat agree,4.0,Neither agree nor disagree,4.0,Neither agree nor disagree
333,0.38,3/13/2012,3/13/2012,18.0,25-34,Bachelor's degree or higher,Female,"$85,000 to $99,999",Married,Pacific,No,CA,7.0,Strongly agree,7.0,Strongly agree,7.0,Strongly disagree
334,0.32,3/13/2012,3/13/2012,20.0,45-54,Bachelor's degree or higher,Male,"$150,000 to $174,999",Never married,Mid-Atlantic,No,NJ,3.0,Somewhat disagree,5.0,Somewhat agree,2.0,Agree
335,1.89,3/13/2012,3/13/2012,34.0,55-64,Bachelor's degree or higher,Male,">=$175,000",Married,Mid-Atlantic,No,NJ,6.0,Agree,6.0,Agree,3.0,Somewhat agree
336,0.58,3/13/2012,3/17/2012,5788.0,35-44,Some college,Female,"$75,000 to $84,999",Separated,West-North Central,Yes,MO,6.0,Agree,7.0,Strongly agree,2.0,Agree
337,0.62,3/13/2012,3/13/2012,35.0,55-64,Some college,Female,"$75,000 to $84,999",Married,Mid-Atlantic,No,NY,6.0,Agree,7.0,Strongly agree,4.0,Neither agree nor disagree
338,0.29,3/13/2012,3/13/2012,115.0,55-64,Some college,Female,"$125,000 to $149,999",Married,Mountain,No,NV,5.0,Somewhat agree,6.0,Agree,4.0,Neither agree nor disagree
340,0.84,3/13/2012,3/13/2012,29.0,35-44,Some college,Male,"$25,000 to $29,999",Married,West-South Central,Yes,TX,5.0,Somewhat agree,5.0,Somewhat agree,2.0,Agree
341,1.45,3/13/2012,3/13/2012,43.0,75+,Less than high school,Male,"$40,000 to $49,999",Married,South Atlantic,No,NC,6.0,Agree,6.0,Agree,1.0,Strongly agree
342,0.47,3/13/2012,3/13/2012,65.0,75+,High school,Female,"$50,000 to $59,999",Married,Mountain,No,CO,6.0,Agree,5.0,Somewhat agree,6.0,Disagree
343,0.54,3/13/2012,3/13/2012,30.0,25-34,High school,Male,"$40,000 to $49,999",Married,South Atlantic,No,FL,6.0,Agree,7.0,Strongly agree,6.0,Disagree
344,1.29,3/13/2012,3/13/2012,38.0,45-54,Bachelor's degree or higher,Female,"$100,000 to $124,999",Married,East-North Central,Yes,OH,2.0,Disagree,5.0,Somewhat agree,5.0,Somewhat disagree
345,0.43,3/13/2012,3/13/2012,70.0,35-44,Bachelor's degree or higher,Male,"$100,000 to $124,999",Married,Pacific,Yes,WA,5.0,Somewhat agree,6.0,Agree,3.0,Somewhat agree
346,0.6,3/13/2012,3/13/2012,33.0,45-54,Bachelor's degree or higher,Male,"$75,000 to $84,999",Never married,East-North Central,No,IN,6.0,Agree,6.0,Agree,2.0,Agree
347,0.36,3/13/2012,3/13/2012,801.0,55-64,Bachelor's degree or higher,Female,">=$175,000",Married,East-North Central,No,IL,4.0,Neither agree nor disagree,4.0,Neither agree nor disagree,6.0,Disagree
348,1.17,3/13/2012,3/13/2012,38.0,35-44,Bachelor's degree or higher,Female,"$60,000 to $74,999",Married,South Atlantic,Yes,NC,4.0,Neither agree nor disagree,6.0,Agree,4.0,Neither agree nor disagree
349,1.26,3/13/2012,3/13/2012,34.0,35-44,Some college,Male,"$100,000 to $124,999",Married,New England,Yes,MA,5.0,Somewhat agree,4.0,Neither agree nor disagree,5.0,Somewhat disagree
350,0.73,3/13/2012,3/13/2012,80.0,65-74,Bachelor's degree or higher,Female,"$75,000 to $84,999",Divorced,East-South Central,No,TN,5.0,Somewhat agree,6.0,Agree,2.0,Agree
352,1.92,3/13/2012,3/13/2012,32.0,35-44,Bachelor's degree or higher,Female,"$125,000 to $149,999",Married,Mid-Atlantic,Yes,NJ,6.0,Agree,6.0,Agree,3.0,Somewhat agree
353,0.68,3/13/2012,3/13/2012,43.0,45-54,Bachelor's degree or higher,Female,"$60,000 to $74,999",Married,West-North Central,Yes,NE,6.0,Agree,6.0,Agree,6.0,Disagree
354,0.57,3/13/2012,3/13/2012,35.0,65-74,High school,Female,"$35,000 to $39,999",Married,East-North Central,No,IL,6.0,Agree,6.0,Agree,4.0,Neither agree nor disagree
355,0.23,3/13/2012,3/13/2012,24.0,45-54,Some college,Female,"$100,000 to $124,999",Married,Pacific,No,CA,6.0,Agree,6.0,Agree,4.0,Neither agree nor disagree
356,0.88,3/13/2012,3/13/2012,12.0,25-34,Less than high school,Male,"$35,000 to $39,999",Never married,West-South Central,No,TX,3.0,Somewhat disagree,5.0,Somewhat agree,7.0,Strongly disagree
357,0.74,3/13/2012,3/13/2012,34.0,25-34,High school,Male,"$75,000 to $84,999",Married,West-South Central,Yes,TX,5.0,Somewhat agree,6.0,Agree,3.0,Somewhat agree
360,1.96,3/13/2012,3/13/2012,51.0,55-64,Less than high school,Male,"$30,000 to $34,999",Married,East-North Central,No,OH,5.0,Somewhat agree,5.0,Somewhat agree,2.0,Agree
361,0.31,3/13/2012,3/13/2012,37.0,45-54,Some college,Male,"$150,000 to $174,999",Married,Pacific,No,AK,7.0,Strongly agree,7.0,Strongly agree,7.0,Strongly disagree
362,0.45,3/13/2012,3/13/2012,54.0,35-44,Bachelor's degree or higher,Male,"$125,000 to $149,999",Married,West-South Central,Yes,TX,7.0,Strongly agree,5.0,Somewhat agree,6.0,Disagree
363,0.97,3/13/2012,3/13/2012,18.0,18-24,High school,Female,"$60,000 to $74,999",Never married,Pacific,No,CA,4.0,Neither agree nor disagree,5.0,Somewhat agree,3.0,Somewhat agree
364,1.38,3/13/2012,3/13/2012,29.0,55-64,Bachelor's degree or higher,Female,"$85,000 to $99,999",Married,West-North Central,No,IA,5.0,Somewhat agree,6.0,Agree,2.0,Agree
365,3.07,3/13/2012,3/19/2012,9256.0,25-34,Bachelor's degree or higher,Female,"$150,000 to $174,999",Never married,New England,No,MA,5.0,Somewhat agree,6.0,Agree,2.0,Agree
366,1.97,3/13/2012,3/13/2012,31.0,45-54,Some college,Male,"$10,000 to $12,499",Never married,Pacific,No,CA,4.0,Neither agree nor disagree,7.0,Strongly agree,4.0,Neither agree nor disagree
367,0.44,3/13/2012,3/13/2012,76.0,65-74,Some college,Male,"$85,000 to $99,999",Married,East-North Central,No,OH,7.0,Strongly agree,7.0,Strongly agree,1.0,Strongly agree
368,0.46,3/13/2012,3/13/2012,31.0,65-74,Some college,Female,"$50,000 to $59,999",Married,Mid-Atlantic,No,PA,5.0,Somewhat agree,5.0,Somewhat agree,3.0,Somewhat agree
369,0.63,3/13/2012,3/13/2012,43.0,25-34,Bachelor's degree or higher,Male,"$100,000 to $124,999",Married,West-North Central,No,MO,6.0,Agree,7.0,Strongly agree,3.0,Somewhat agree
370,2.42,3/13/2012,3/16/2012,4343.0,25-34,Bachelor's degree or higher,Male,"$60,000 to $74,999",Living with partner,South Atlantic,No,NC,7.0,Strongly agree,7.0,Strongly agree,3.0,Somewhat agree
371,1.44,3/13/2012,3/14/2012,2484.0,18-24,High school,Male,"$20,000 to $24,999",Never married,Mid-Atlantic,No,NY,7.0,Strongly agree,7.0,Strongly agree,2.0,Agree
372,0.59,3/13/2012,3/13/2012,34.0,35-44,Some college,Female,"$25,000 to $29,999",Never married,Pacific,Yes,OR,5.0,Somewhat agree,6.0,Agree,2.0,Agree
373,0.83,3/13/2012,3/13/2012,45.0,55-64,Less than high school,Female,"$40,000 to $49,999",Married,West-South Central,No,TX,5.0,Somewhat agree,5.0,Somewhat agree,4.0,Neither agree nor disagree
374,0.87,3/13/2012,3/13/2012,47.0,55-64,Some college,Female,"$75,000 to $84,999",Married,West-North Central,No,MN,6.0,Agree,4.0,Neither agree nor disagree,7.0,Strongly disagree
375,0.6,3/13/2012,3/13/2012,42.0,55-64,Bachelor's degree or higher,Male,"$150,000 to $174,999",Married,Pacific,No,CA,3.0,Somewhat disagree,6.0,Agree,6.0,Disagree
376,0.47,3/13/2012,3/13/2012,22.0,35-44,High school,Male,"$30,000 to $34,999",Never married,Mid-Atlantic,No,PA,4.0,Neither agree nor disagree,6.0,Agree,3.0,Somewhat agree
377,0.27,3/13/2012,3/13/2012,23.0,55-64,Bachelor's degree or higher,Male,">=$175,000",Married,South Atlantic,No,MD,4.0,Neither agree nor disagree,4.0,Neither agree nor disagree,5.0,Somewhat disagree
378,0.72,3/13/2012,3/13/2012,37.0,45-54,High school,Female,"$75,000 to $84,999",Married,West-South Central,No,LA,6.0,Agree,7.0,Strongly agree,2.0,Agree
379,0.43,3/13/2012,3/13/2012,20.0,45-54,High school,Female,"$50,000 to $59,999",Living with partner,West-South Central,Yes,TX,7.0,Strongly agree,4.0,Neither agree nor disagree,5.0,Somewhat disagree
380,0.96,3/13/2012,3/13/2012,38.0,45-54,Less than high school,Female,"$20,000 to $24,999",Married,Mid-Atlantic,No,PA,7.0,Strongly agree,7.0,Strongly agree,7.0,Strongly disagree
381,1.83,3/13/2012,3/13/2012,24.0,45-54,Some college,Male,"$35,000 to $39,999",Divorced,East-North Central,No,IL,4.0,Neither agree nor disagree,7.0,Strongly agree,4.0,Neither agree nor disagree
382,0.35,3/13/2012,3/13/2012,30.0,55-64,Some college,Female,"$100,000 to $124,999",Married,East-North Central,No,WI,6.0,Agree,5.0,Somewhat agree,5.0,Somewhat disagree
383,0.47,3/13/2012,3/13/2012,33.0,45-54,Some college,Female,"$85,000 to $99,999",Married,South Atlantic,Yes,FL,4.0,Neither agree nor disagree,5.0,Somewhat agree,4.0,Neither agree nor disagree
384,0.39,3/13/2012,3/13/2012,29.0,55-64,High school,Female,"$40,000 to $49,999",Married,New England,No,CT,4.0,Neither agree nor disagree,6.0,Agree,4.0,Neither agree nor disagree
386,0.63,3/13/2012,3/13/2012,62.0,25-34,Bachelor's degree or higher,Male,"$150,000 to $174,999",Never married,Mid-Atlantic,No,NY,5.0,Somewhat agree,6.0,Agree,5.0,Somewhat disagree
387,0.51,3/13/2012,3/13/2012,36.0,45-54,Some college,Male,"$100,000 to $124,999",Married,Mid-Atlantic,Yes,NY,5.0,Somewhat agree,4.0,Neither agree nor disagree,5.0,Somewhat disagree
388,0.62,3/13/2012,3/13/2012,17.0,18-24,Some college,Male,"$85,000 to $99,999",Never married,Mid-Atlantic,No,NY,6.0,Agree,6.0,Agree,4.0,Neither agree nor disagree
389,0.33,3/13/2012,3/13/2012,39.0,35-44,Bachelor's degree or higher,Male,"$50,000 to $59,999",Never married,East-South Central,Yes,TN,3.0,Somewhat disagree,7.0,Strongly agree,2.0,Agree
390,0.53,3/13/2012,3/13/2012,26.0,45-54,Bachelor's degree or higher,Male,"$125,000 to $149,999",Married,South Atlantic,No,FL,6.0,Agree,5.0,Somewhat agree,4.0,Neither agree nor disagree
391,1.03,3/13/2012,3/15/2012,4059.0,45-54,High school,Female,"$40,000 to $49,999",Married,East-North Central,No,OH,7.0,Strongly agree,3.0,Somewhat disagree,5.0,Somewhat disagree
392,0.33,3/13/2012,3/13/2012,32.0,55-64,Bachelor's degree or higher,Female,"$75,000 to $84,999",Married,Mountain,No,CO,6.0,Agree,6.0,Agree,7.0,Strongly disagree
393,0.43,3/13/2012,3/13/2012,37.0,45-54,Some college,Female,"$50,000 to $59,999",Divorced,Mountain,Yes,CO,6.0,Agree,7.0,Strongly agree,5.0,Somewhat disagree
394,1.31,3/13/2012,3/13/2012,32.0,45-54,Some college,Female,"$125,000 to $149,999",Married,West-North Central,No,KS,6.0,Agree,5.0,Somewhat agree,3.0,Somewhat agree
395,1.27,3/13/2012,3/14/2012,1352.0,55-64,High school,Female,"$50,000 to $59,999",Married,Mid-Atlantic,No,PA,6.0,Agree,5.0,Somewhat agree,2.0,Agree
396,2.73,3/13/2012,3/13/2012,40.0,25-34,High school,Female,"$75,000 to $84,999",Married,East-North Central,No,OH,7.0,Strongly agree,6.0,Agree,3.0,Somewhat agree
397,0.34,3/13/2012,3/13/2012,100.0,65-74,High school,Female,"$30,000 to $34,999",Married,Pacific,No,CA,6.0,Agree,6.0,Agree,4.0,Neither agree nor disagree
398,0.77,3/13/2012,3/13/2012,30.0,55-64,Bachelor's degree or higher,Female,"$150,000 to $174,999",Married,South Atlantic,No,GA,4.0,Neither agree nor disagree,5.0,Somewhat agree,6.0,Disagree
399,1.12,3/13/2012,3/13/2012,66.0,55-64,Bachelor's degree or higher,Female,"$150,000 to $174,999",Married,South Atlantic,No,MD,6.0,Agree,7.0,Strongly agree,7.0,Strongly disagree
400,0.94,3/13/2012,3/13/2012,49.0,65-74,Less than high school,Male,"$30,000 to $34,999",Married,West-North Central,No,MN,6.0,Agree,2.0,Disagree,3.0,Somewhat agree
401,1.92,3/13/2012,3/13/2012,32.0,18-24,High school,Male,"$50,000 to $59,999",Never married,Pacific,No,CA,5.0,Somewhat agree,6.0,Agree,3.0,Somewhat agree
402,1.47,3/13/2012,3/13/2012,75.0,75+,High school,Male,"$30,000 to $34,999",Divorced,Pacific,No,CA,6.0,Agree,6.0,Agree,3.0,Somewhat agree
403,1.15,3/13/2012,3/13/2012,90.0,55-64,Less than high school,Male,"$15,000 to $19,999",Married,East-North Central,No,MI,7.0,Strongly agree,3.0,Somewhat disagree,1.0,Strongly agree
404,0.98,3/13/2012,3/13/2012,31.0,75+,Bachelor's degree or higher,Female,"$35,000 to $39,999",Widowed,Mid-Atlantic,No,NJ,6.0,Agree,-1.0,Refused,7.0,Strongly disagree
405,0.4,3/13/2012,3/13/2012,29.0,25-34,Bachelor's degree or higher,Male,"$100,000 to $124,999",Married,East-North Central,Yes,MI,6.0,Agree,6.0,Agree,2.0,Agree
406,0.28,3/13/2012,3/13/2012,49.0,75+,Some college,Female,"$40,000 to $49,999",Married,Pacific,No,CA,6.0,Agree,7.0,Strongly agree,6.0,Disagree
407,1.05,3/13/2012,3/13/2012,69.0,75+,High school,Female,"$25,000 to $29,999",Married,East-North Central,No,WI,5.0,Somewhat agree,6.0,Agree,5.0,Somewhat disagree
408,0.35,3/13/2012,3/13/2012,36.0,55-64,High school,Female,"$60,000 to $74,999",Married,Mid-Atlantic,No,NY,5.0,Somewhat agree,3.0,Somewhat disagree,7.0,Strongly disagree
409,0.14,3/13/2012,3/13/2012,18.0,18-24,Bachelor's degree or higher,Female,"$100,000 to $124,999",Separated,Pacific,No,CA,5.0,Somewhat agree,5.0,Somewhat agree,7.0,Strongly disagree
410,0.8,3/13/2012,3/13/2012,28.0,45-54,Bachelor's degree or higher,Female,"$100,000 to $124,999",Married,West-North Central,Yes,KS,6.0,Agree,6.0,Agree,5.0,Somewhat disagree
411,1.41,3/13/2012,3/13/2012,66.0,55-64,Bachelor's degree or higher,Female,"$85,000 to $99,999",Never married,South Atlantic,No,FL,6.0,Agree,7.0,Strongly agree,6.0,Disagree
412,0.33,3/13/2012,3/13/2012,39.0,75+,Bachelor's degree or higher,Female,"$100,000 to $124,999",Widowed,Pacific,No,CA,4.0,Neither agree nor disagree,5.0,Somewhat agree,5.0,Somewhat disagree
413,0.53,3/13/2012,3/13/2012,21.0,45-54,Some college,Male,"$60,000 to $74,999",Living with partner,South Atlantic,No,GA,7.0,Strongly agree,6.0,Agree,4.0,Neither agree nor disagree
414,0.47,3/13/2012,3/13/2012,26.0,35-44,Some college,Female,"$100,000 to $124,999",Married,Pacific,Yes,CA,6.0,Agree,6.0,Agree,3.0,Somewhat agree
415,0.44,3/13/2012,3/13/2012,24.0,75+,High school,Female,"<$5,000",Never married,Pacific,No,CA,4.0,Neither agree nor disagree,7.0,Strongly agree,4.0,Neither agree nor disagree
416,0.54,3/13/2012,3/13/2012,40.0,75+,Some college,Female,"$60,000 to $74,999",Married,South Atlantic,No,FL,6.0,Agree,5.0,Somewhat agree,3.0,Somewhat agree
417,0.9,3/13/2012,3/13/2012,24.0,35-44,Bachelor's degree or higher,Male,">=$175,000",Never married,Pacific,No,CA,5.0,Somewhat agree,5.0,Somewhat agree,5.0,Somewhat disagree
418,0.31,3/13/2012,3/13/2012,20.0,45-54,Bachelor's degree or higher,Male,"$50,000 to $59,999",Married,Mid-Atlantic,Yes,PA,5.0,Somewhat agree,2.0,Disagree,1.0,Strongly agree
419,1.41,3/13/2012,3/13/2012,70.0,45-54,High school,Male,"$30,000 to $34,999",Never married,West-South Central,No,TX,7.0,Strongly agree,7.0,Strongly agree,1.0,Strongly agree
420,1.82,3/13/2012,3/14/2012,1367.0,55-64,Less than high school,Male,"$20,000 to $24,999",Living with partner,East-North Central,No,IN,5.0,Somewhat agree,5.0,Somewhat agree,5.0,Somewhat disagree
421,0.44,3/13/2012,3/13/2012,22.0,55-64,Bachelor's degree or higher,Female,">=$175,000",Married,New England,Yes,CT,5.0,Somewhat agree,5.0,Somewhat agree,6.0,Disagree
422,0.66,3/13/2012,3/13/2012,27.0,25-34,Some college,Female,"$60,000 to $74,999",Married,Pacific,Yes,WA,4.0,Neither agree nor disagree,7.0,Strongly agree,7.0,Strongly disagree
424,0.49,3/13/2012,3/13/2012,26.0,18-24,Some college,Male,"$60,000 to $74,999",Never married,Pacific,No,CA,7.0,Strongly agree,7.0,Strongly agree,5.0,Somewhat disagree
425,1.24,3/13/2012,3/13/2012,34.0,35-44,Some college,Female,"$50,000 to $59,999",Married,Mountain,No,WY,7.0,Strongly agree,6.0,Agree,5.0,Somewhat disagree
426,2.56,3/13/2012,3/13/2012,30.0,25-34,Some college,Female,"$25,000 to $29,999",Married,South Atlantic,No,FL,5.0,Somewhat agree,6.0,Agree,2.0,Agree
427,0.36,3/13/2012,3/13/2012,22.0,55-64,Some college,Male,"$125,000 to $149,999",Married,Pacific,No,CA,4.0,Neither agree nor disagree,2.0,Disagree,4.0,Neither agree nor disagree
428,0.39,3/13/2012,3/16/2012,4337.0,25-34,Bachelor's degree or higher,Female,">=$175,000",Married,Pacific,Yes,CA,4.0,Neither agree nor disagree,6.0,Agree,2.0,Agree
429,0.79,3/13/2012,3/13/2012,36.0,25-34,Bachelor's degree or higher,Male,"$100,000 to $124,999",Married,East-North Central,No,WI,7.0,Strongly agree,5.0,Somewhat agree,5.0,Somewhat disagree
430,1.13,3/13/2012,3/13/2012,52.0,45-54,High school,Female,"$20,000 to $24,999",Married,South Atlantic,No,FL,6.0,Agree,6.0,Agree,3.0,Somewhat agree
431,0.4,3/13/2012,3/13/2012,70.0,65-74,High school,Male,"$35,000 to $39,999",Married,East-North Central,No,IL,6.0,Agree,5.0,Somewhat agree,4.0,Neither agree nor disagree
432,2.49,3/13/2012,3/13/2012,51.0,18-24,Some college,Female,"$20,000 to $24,999",Separated,South Atlantic,Yes,NC,6.0,Agree,7.0,Strongly agree,2.0,Agree
434,0.27,3/13/2012,3/13/2012,70.0,55-64,Bachelor's degree or higher,Male,"$100,000 to $124,999",Married,East-North Central,Yes,OH,5.0,Somewhat agree,7.0,Strongly agree,4.0,Neither agree nor disagree
435,3.1,3/13/2012,3/13/2012,35.0,25-34,Some college,Male,"$30,000 to $34,999",Married,West-North Central,No,SD,5.0,Somewhat agree,6.0,Agree,6.0,Disagree
